AvoidReassigningParameters,3,CHA
UseVarargs,3,ANA
FinalFieldCouldBeStatic,3,EFF
LawOfDemeter,3,REU
EmptySynchronizedBlock,3,ANA
EmptyStaticInitializer,,ANA
CheckSkipResult,,REL
SimpleDateFormatNeedsLocale,3,REL
EmptyStatementBlock,3,ANA
BigIntegerInstantiation,3,
EqualsNull,3,REL
CouplingBetweenObjects,3,REU
AvoidThreadGroup,3,REL
AvoidConstantsInterface,3,ANA
NonThreadSafeSingleton,3,REL
UseUtilityClass,3,REU
CloseResource,3,EFF
MissingBreakInSwitch,3,REL CHA
EmptyInitializer,,ANA
UncommentedEmptyMethod,3,ANA
CompareObjectsWithEquals,3,REL
AvoidDeeplyNestedIfStmts,3,ANA CHA TES
ClassWithOnlyPrivateConstructorsShouldBeFinal,3,ANA
LogicInversion,3,ANA
EmptyCatchBlock,3,REL
FieldDeclarationsShouldBeAtStartOfClass,3,ANA
BooleanInstantiation,2,ANA
SimplifyConditional,3,ANA
AssignmentToNonFinalStatic,3,REL
UnusedPrivateField,3,ANA EFF
NonCaseLabelInSwitchStatement,3,ANA
UnusedLocalVariable,3,ANA EFF
ForLoopShouldBeWhileLoop,3,ANA
EmptyWhileStmt,3,ANA EFF
EmptyTryBlock,3,ANA
TooFewBranchesForASwitchStatement,3,ANA
UseCollectionIsEmpty,3,ANA
DontCallThreadRun,4,ANA
ReturnEmptyArrayRatherThanNull,3,REL
AvoidBranchingStatementAsLastInLoop,2,ANA
ExcessiveImports,3,REU
SimplifyBooleanExpressions,3,ANA
InstantiationToGetClass,3,EFF
EmptyFinallyBlock,3,ANA
AccessorClassGeneration,3,
AvoidUsingHardCodedIP,3,CHA REU POR
ExtendsObject,4,ANA
GodClass,3,ANA CHA
OverrideBothEqualsAndHashcode,3,CHA REU
NonStaticInitializer,3,ANA
UnusedPrivateMethod,3,ANA EFF
OptimizableToArrayCall,3,EFF
CheckResultSet,3,REL
BrokenNullCheck,2,REL
SimplifyBooleanReturns,3,ANA
ConstructorCallsOverridableMethod,3,REL
JumbledIncrementer,3,CHA REL
SingularField,3,CHA
AbstractClassWithoutAbstractMethod,3,ANA
PositionLiteralsFirstInCaseInsensitiveComparisons,3,REL
ReturnFromFinallyBlock,3,REL
DontUseFloatTypeForLoopIndices,,REL
UnusedFormalParameter,3,ANA
AvoidMultipleUnaryOperators,,ANA REL
PositionLiteralsFirstInComparisons,3,REL
SwitchDensity,3,ANA CHA
BadComparison,3,REL
DoubleCheckedLocking,,REL
CollapsibleIfStatements,3,REL
MisplacedNullCheck,,REL ANA
MissingStaticMethodInNonInstantiatableClass,3,EFF ANA
ConfusingTernary,3,ANA
LoosePackageCoupling,3,REU
SwitchStmtsShouldHaveDefault,3,REL
AvoidUsingOctalValues,3,REL ANA
ImmutableField,3,ANA
AvoidInstanceofChecksInCatchClause,3,CHA
UnusedModifier,3,ANA
UnconditionalIfStatement,3,ANA
UnnecessaryLocalBeforeReturn,3,ANA EFF
UnsynchronizedStaticDateFormatter,3,REL
EmptyStatementNotInLoop,3,ANA
AvoidDecimalLiteralsInBigDecimalConstructor,,REL CHA
ClassCastExceptionWithToArray,3,REL
IdempotentOperations,3,ANA
AvoidProtectedFieldInFinalClass,3,ANA
AbstractClassWithoutAnyMethod,3,CHA
LooseCoupling,3,REU
PreserveStackTrace,3,ANA
AvoidProtectedMethodInFinalClassNotExtending,3,ANA
UseLocaleWithCaseConversions,3,EFF
EmptySwitchStatements,,ANA
UseNotifyAllInsteadOfNotify,3,REL
AvoidSynchronizedAtMethodLevel,3,EFF CHA
UncommentedEmptyConstructor,3,ANA
EmptyMethodInAbstractClassShouldBeAbstract,3,REU
DefaultLabelNotLastInSwitchStmt,3,ANA
EmptyIfStmt,3,ANA EFF
